Brand,ID
Alcatel,1
Apple,2
ASUS,3
BlackZone,4
Bluboo,5
Brown,6
Celkon,7
Coolpad,8
EL,9
Forme,10
GIONEE,11
Google,12
Honor,13
HPL,14
HTC,15
Huawei,16
iball,17
IKall,18
Infinix,19
Infocus,20
Intex,21
IQOO,22
Ismart,23
Itel,24
KARA,25
KARBONN,26
Kekai,27
KXD,28
LAVA,29
LEAGOO,30
Lenovo,31
LG,32
LYF,33
Maplin,34
Meizu,35
Mi,36
MI3,37
Micromax,38
MICROSOFT,39
mobiistar,40
Motorola,41
Nokia,42
Nubia,43
Nuvo,44
OPPO,45
Panasonic,46
POCO,47
realme,48
Redmi,49
ringme,50
SAMSUNG,51
Seatel,52
Spinup,53
SuperD,54
Tambo,55
TASHAN,56
TCL,57
Tecno,58
Telefono,59
ViVO,60
Voto,61
Wizphone,62
XOLO,63
YU,64
YUHO,65
Zen,66
Zoom,67
