Product Name,Brand,Sale Price,id marque,id tel
XOLO T1000 (Black 4 GB),XOLO,14153,63,1
GIONEE Pioneer P3 (White 4 GB),GIONEE,6500,11,2
KARBONN Titanium S4 (Black 4 GB),KARBONN,13298,26,3
KARBONN Titanium S4 (White 4 GB),KARBONN,14990,26,4
Micromax Bolt A71 (Black 165 MB),Micromax,6499,38,5
Lenovo S930 (Silver 8 GB),Lenovo,13604,31,6
Micromax Canvas Elanza A93 (Black Silver 4 GB),Micromax,7700,38,7
KARBONN A19 (Black Silver 4 GB),KARBONN,6999,26,8
LG L90 Dual (White 8 GB),LG,15532,32,9
LG Optimus L70 (Black 4 GB),LG,12791,32,10
LG G Pro 2 (Titan 16 GB),LG,42021,32,11
MI3 (Metallic Grey 16 GB),MI3,13999,37,12
ASUS Zenfone 4 (Red 8 GB),ASUS,7499,3,13
ASUS Zenfone 5 A501CG (Gold 8 GB),ASUS,8499,3,14
ASUS Zenfone 4 (Yellow 8 GB),ASUS,7499,3,15
Micromax Canvas 2 Colors A120 (Grey 4 GB),Micromax,9005,38,16
HPL A35 (Black 512 MB),HPL,1190,14,17
Moto X (2nd Generation) (Black Leather 16 GB),Motorola,23999,41,18
XOLO Omega 5.0 (Black 8 GB),XOLO,8990,63,19
Moto Turbo (Black 64 GB),Motorola,31999,41,20
Honor 6 Plus (Black 32 GB),Honor,26499,13,21
Micromax Canvas Juice 2 (Silver 8 GB),Micromax,9500,38,22
SAMSUNG Galaxy S6 Edge (Black Sapphire 32 GB),SAMSUNG,37299,51,23
Moto G (3rd Generation) (White 16 GB),Motorola,10999,41,24
GIONEE Pioneer P4S (Black 8 GB),GIONEE,7800,11,25
Lenovo K3 Note (Yellow 16 GB),Lenovo,9999,31,26
Micromax Canvas Selfie Lens (Moon Dust Grey 8 GB),Micromax,8000,38,27
Micromax Canvas Nitro 2 (White & Gold 16 GB),Micromax,7999,38,28
Panasonic Eluga Z (Midnight Blue 16 GB),Panasonic,8999,46,29
ASUS Zenfone Selfie (Silver 16 GB),ASUS,9975,3,30
ASUS Zenfone 2 Laser (Black 16 GB),ASUS,12999,3,31
SAMSUNG Galaxy J2 (White 8 GB),SAMSUNG,6799,51,32
Panasonic Eluga Switch (Gun Metal Grey 32 GB),Panasonic,14990,46,33
Micromax Doodle4 (Blue 8 GB),Micromax,9999,38,34
SAMSUNG Galaxy On7 (Black 8 GB),SAMSUNG,9977,51,35
Nuvo alpha with free power bank (White 4 GB),Nuvo,2849,44,36
OPPO Neo 7 4G (Black 16 GB),OPPO,10000,45,37
